,State_Alpha,Metro_Area_Name,County_Name,2021,2020,2019,2018
113,AR,"Baxter County, AR",Baxter County,52600,51400,50500,48700
114,AR,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Benton County,74900,73600,69900,65400
115,AR,"Boone County, AR",Boone County,52000,49900,47700,48800
116,AR,"Bradley County, AR",Bradley County,49200,49800,50100,44100
117,AR,"Calhoun County, AR",Calhoun County,60200,50400,51800,49200
118,AR,"Carroll County, AR",Carroll County,56300,54700,52800,48000
119,AR,"Chicot County, AR",Chicot County,42100,41500,38400,36500
120,AR,"Clark County, AR",Clark County,60600,57700,55600,53500
121,AR,"Clay County, AR",Clay County,47100,45900,44600,46000
122,AR,"Cleburne County, AR",Cleburne County,55500,59700,57000,55100
123,AR,"Pine Bluff, AR MSA",Cleveland County,60100,52600,51000,47900
124,AR,"Columbia County, AR",Columbia County,51800,52200,55100,53700
125,AR,"Conway County, AR",Conway County,56100,54600,53600,51700
126,AR,"Jonesboro, AR HUD Metro FMR Area",Craighead County,58900,65200,54900,56200
127,AR,"Fort Smith, AR-OK HUD Metro FMR Area",Crawford County,54300,54200,52900,52900
128,AR,"Memphis, TN-MS-AR HUD Metro FMR Area",Crittenden County,68700,67900,65900,64200
129,AR,"Cross County, AR",Cross County,57600,54200,51400,49200
130,AR,"Dallas County, AR",Dallas County,48700,48700,47800,49100
131,AR,"Desha County, AR",Desha County,43000,40500,39600,39200
132,AR,"Drew County, AR",Drew County,63200,53900,49300,48100
133,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Faulkner County,71500,72200,69600,66300
134,AR,"Franklin County, AR",Franklin County,51900,49100,50700,48200
135,AR,"Fulton County, AR",Fulton County,44400,45300,45900,45700
136,AR,"Hot Springs, AR MSA",Garland County,61900,63900,60000,52700
137,AR,"Grant County, AR HUD Metro FMR Area",Grant County,64000,64700,63700,60100
138,AR,"Greene County, AR",Greene County,58500,58700,56500,54900
139,AR,"Hempstead County, AR",Hempstead County,53300,51200,45200,44000
140,AR,"Hot Spring County, AR",Hot Spring County,54300,55300,54000,50700
141,AR,"Howard County, AR",Howard County,51100,47400,46100,45200
142,AR,"Independence County, AR",Independence County,55500,54800,52000,47500
143,AR,"Izard County, AR",Izard County,53100,52000,46400,44500
144,AR,"Jackson County, AR",Jackson County,45500,44900,42300,42100
145,AR,"Pine Bluff, AR MSA",Jefferson County,60100,52600,51000,47900
146,AR,"Johnson County, AR",Johnson County,45200,45600,45300,45100
147,AR,"Lafayette County, AR",Lafayette County,46500,46300,43800,42700
148,AR,"Lawrence County, AR",Lawrence County,51200,51400,47300,43300
149,AR,"Lee County, AR",Lee County,46000,41900,38800,37200
150,AR,"Pine Bluff, AR MSA",Lincoln County,60100,52600,51000,47900
151,AR,"Little River County, AR HUD Metro FMR Area",Little River County,61500,54500,50700,49800
152,AR,"Logan County, AR",Logan County,47900,48900,46800,44800
153,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Lonoke County,71500,72200,69600,66300
154,AR,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Madison County,74900,73600,69900,65400
155,AR,"Marion County, AR",Marion County,47900,46400,44900,45600
156,AR,"Texarkana, TX-Texarkana, AR HUD Metro FMR Area",Miller County,57800,69800,54600,52200
157,AR,"Mississippi County, AR",Mississippi County,46600,44700,44200,44300
158,AR,"Monroe County, AR",Monroe County,49000,47400,46500,38100
159,AR,"Montgomery County, AR",Montgomery County,50200,48900,45800,44200
160,AR,"Nevada County, AR",Nevada County,46900,50500,43700,45000
161,AR,"Newton County, AR",Newton County,52400,50200,47000,45000
162,AR,"Ouachita County, AR",Ouachita County,50200,45400,45000,45000
163,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Perry County,71500,72200,69600,66300
164,AR,"Phillips County, AR",Phillips County,42300,37100,36300,33400
165,AR,"Pike County, AR",Pike County,52200,51800,52000,46100
166,AR,"Poinsett County, AR HUD Metro FMR Area",Poinsett County,47000,46600,44800,43300
167,AR,"Polk County, AR",Polk County,47500,42600,42800,44800
168,AR,"Pope County, AR",Pope County,53800,54100,53600,51800
169,AR,"Prairie County, AR",Prairie County,52800,51000,47300,45200
170,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Pulaski County,71500,72200,69600,66300
171,AR,"Randolph County, AR",Randolph County,47500,48400,49100,48300
172,AR,"St. Francis County, AR",St. Francis County,43300,43200,43600,39400
173,AR,"Little Rock-North Little Rock-Conway, AR HUD Metro FMR Area",Saline County,71500,72200,69600,66300
174,AR,"Scott County, AR",Scott County,45300,45400,43500,43200
175,AR,"Searcy County, AR",Searcy County,45100,46900,44300,43000
176,AR,"Fort Smith, AR-OK HUD Metro FMR Area",Sebastian County,54300,54200,52900,52900
177,AR,"Sevier County, AR",Sevier County,55700,56000,53600,48800
178,AR,"Sharp County, AR",Sharp County,44200,43200,41800,40900
179,AR,"Stone County, AR",Stone County,48100,44300,43700,41300
180,AR,"Union County, AR",Union County,57600,55100,53200,51800
181,AR,"Van Buren County, AR",Van Buren County,48600,46400,48700,47200
182,AR,"Fayetteville-Springdale-Rogers, AR HUD Metro FMR Area",Washington County,74900,73600,69900,65400
183,AR,"White County, AR",White County,59700,57200,56200,56500
184,AR,"Woodruff County, AR",Woodruff County,53300,49400,42900,41100
185,AR,"Yell County, AR",Yell County,50900,48700,46900,46500
186,CA,"Oakland-Fremont, CA HUD Metro FMR Area",Alameda County,125600,119200,111700,104400
187,CA,"Alpine County, CA",Alpine County,81200,83200,80100,77800
188,CA,"Amador County, CA",Amador County,77900,78700,73000,73600
189,CA,"Chico, CA MSA",Butte County,68400,66100,66500,60500
190,CA,"Calaveras County, CA",Calaveras County,81700,80400,75300,72300
191,CA,"Colusa County, CA",Colusa County,67100,66400,61900,59500
192,CA,"Oakland-Fremont, CA HUD Metro FMR Area",Contra Costa County,125600,119200,111700,104400
193,CA,"Del Norte County, CA",Del Norte County,60300,57400,57000,55300
194,CA,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",El Dorado County,91100,86300,83600,80100
195,CA,"Fresno, CA MSA",Fresno County,62800,61700,57300,55500
196,CA,"Glenn County, CA",Glenn County,57900,56700,53800,53100
197,CA,"Humboldt County, CA",Humboldt County,65000,72000,61400,54700
198,CA,"El Centro, CA MSA",Imperial County,56200,55600,60700,48200
199,CA,"Inyo County, CA",Inyo County,74100,75100,72700,71100
200,CA,"Bakersfield, CA MSA",Kern County,59700,56600,57900,58700
201,CA,"Hanford-Corcoran, CA MSA",Kings County,65800,62200,58100,55400
202,CA,"Lake County, CA",Lake County,67100,65800,56500,50100
203,CA,"Lassen County, CA",Lassen County,72200,70400,68300,68000
204,CA,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",Los Angeles County,80000,77300,73100,69300
205,CA,"Madera, CA MSA",Madera County,62900,59400,59100,55200
206,CA,"San Francisco, CA HUD Metro FMR Area",Marin County,149600,143100,136800,118400
207,CA,"Mariposa County, CA",Mariposa County,62900,66900,63600,64200
208,CA,"Mendocino County, CA",Mendocino County,65900,70700,54700,60600
209,CA,"Merced, CA MSA",Merced County,66400,52300,55500,48200
210,CA,"Modoc County, CA",Modoc County,58500,54200,55600,50400
211,CA,"Mono County, CA",Mono County,78900,80900,77900,77500
212,CA,"Salinas, CA MSA",Monterey County,80900,81600,74100,69100
213,CA,"Napa, CA MSA",Napa County,101500,109200,100400,88500
214,CA,"Nevada County, CA",Nevada County,89800,92400,85100,70000
215,CA,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,106700,103000,97900,92700
216,CA,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Placer County,91100,86300,83600,80100
217,CA,"Plumas County, CA",Plumas County,73100,72200,70700,63300
218,CA,"Riverside-San Bernardino-Ontario, CA MSA",Riverside County,77500,75300,69700,65800
219,CA,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento County,91100,86300,83600,80100
220,CA,"San Benito County, CA HUD Metro FMR Area",San Benito County,90700,89700,84500,79800
221,CA,"Riverside-San Bernardino-Ontario, CA MSA",San Bernardino County,77500,75300,69700,65800
222,CA,"San Diego-Carlsbad, CA MSA",San Diego County,95100,92700,86300,81800
223,CA,"San Francisco, CA HUD Metro FMR Area",San Francisco County,149600,143100,136800,118400
224,CA,"Stockton-Lodi, CA MSA",San Joaquin County,74000,75000,71400,63700
225,CA,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",San Luis Obispo County,97800,97300,87500,80600
226,CA,"San Francisco, CA HUD Metro FMR Area",San Mateo County,149600,143100,136800,118400
227,CA,"Santa Maria-Santa Barbara, CA MSA",Santa Barbara County,90100,87800,79300,79600
228,CA,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",Santa Clara County,151300,141600,131400,125200
229,CA,"Santa Cruz-Watsonville, CA MSA",Santa Cruz County,111900,110000,98000,81400
230,CA,"Redding, CA MSA",Shasta County,69500,68500,61900,61400
231,CA,"Sierra County, CA",Sierra County,84800,80500,71500,65800
232,CA,"Siskiyou County, CA",Siskiyou County,56400,54400,52000,48200
233,CA,"Vallejo-Fairfield, CA MSA",Solano County,99300,95400,85700,83700
234,CA,"Santa Rosa, CA MSA",Sonoma County,103300,102700,93300,84100
235,CA,"Modesto, CA MSA",Stanislaus County,68900,69300,64500,60700
236,CA,"Yuba City, CA MSA",Sutter County,66800,75000,59500,60000
237,CA,"Tehama County, CA",Tehama County,55000,55800,51200,51300
238,CA,"Trinity County, CA",Trinity County,53900,51600,50100,51800
239,CA,"Visalia-Porterville, CA MSA",Tulare County,57900,52900,50900,49200
240,CA,"Tuolumne County, CA",Tuolumne County,75600,71600,65700,63200
241,CA,"Oxnard-Thousand Oaks-Ventura, CA MSA",Ventura County,98800,97800,97800,96000
242,CA,"Yolo, CA HUD Metro FMR Area",Yolo County,88600,92500,87900,85100
243,CA,"Yuba City, CA MSA",Yuba County,66800,75000,59500,60000
244,CO,"Denver-Aurora-Lakewood, CO MSA",Adams County,104800,100000,92800,89900
245,CO,"Alamosa County, CO",Alamosa County,52300,49100,49100,51500
246,CO,"Denver-Aurora-Lakewood, CO MSA",Arapahoe County,104800,100000,92800,89900
247,CO,"Archuleta County, CO",Archuleta County,64100,58400,61700,63100
248,CO,"Baca County, CO",Baca County,51600,48800,49400,47400
249,CO,"Bent County, CO",Bent County,44800,43400,44000,44100
250,CO,"Boulder, CO MSA",Boulder County,116900,115100,113600,108600
251,CO,"Denver-Aurora-Lakewood, CO MSA",Broomfield County,104800,100000,92800,89900
252,CO,"Chaffee County, CO",Chaffee County,72800,71300,67300,65700
253,CO,"Cheyenne County, CO",Cheyenne County,76600,72800,67200,66500
254,CO,"Denver-Aurora-Lakewood, CO MSA",Clear Creek County,104800,100000,92800,89900
255,CO,"Conejos County, CO",Conejos County,49400,53200,52500,51200
256,CO,"Costilla County, CO",Costilla County,35900,36800,34900,42900
257,CO,"Crowley County, CO",Crowley County,56200,52900,43000,43900
258,CO,"Custer County, CO",Custer County,64200,57700,54500,48300
259,CO,"Delta County, CO",Delta County,60900,58100,57100,54700
260,CO,"Denver-Aurora-Lakewood, CO MSA",Denver County,104800,100000,92800,89900
261,CO,"Dolores County, CO",Dolores County,53100,51400,43100,41000
262,CO,"Denver-Aurora-Lakewood, CO MSA",Douglas County,104800,100000,92800,89900
263,CO,"Eagle County, CO",Eagle County,98300,99900,94000,86900
264,CO,"Denver-Aurora-Lakewood, CO MSA",Elbert County,104800,100000,92800,89900
265,CO,"Colorado Springs, CO HUD Metro FMR Area",El Paso County,82400,81600,81400,77700
266,CO,"Fremont County, CO",Fremont County,60900,59500,54200,51600
267,CO,"Garfield County, CO",Garfield County,88300,84500,79600,71500
268,CO,"Denver-Aurora-Lakewood, CO MSA",Gilpin County,104800,100000,92800,89900
269,CO,"Grand County, CO",Grand County,78800,78800,78500,75900
270,CO,"Gunnison County, CO",Gunnison County,80600,75400,71000,69200
271,CO,"Hinsdale County, CO",Hinsdale County,65500,76700,75300,77300
272,CO,"Huerfano County, CO",Huerfano County,54500,52600,52400,46300
273,CO,"Jackson County, CO",Jackson County,56200,63900,62100,63000
274,CO,"Denver-Aurora-Lakewood, CO MSA",Jefferson County,104800,100000,92800,89900
275,CO,"Kiowa County, CO",Kiowa County,49600,53500,53300,54200
276,CO,"Kit Carson County, CO",Kit Carson County,63900,60400,56900,55400
277,CO,"Lake County, CO",Lake County,66600,66800,68100,67200
278,CO,"La Plata County, CO",La Plata County,89300,83600,82600,78500
279,CO,"Fort Collins, CO MSA",Larimer County,95900,99400,87200,85100
280,CO,"Las Animas County, CO",Las Animas County,57200,56200,57500,57800
281,CO,"Lincoln County, CO",Lincoln County,72300,64000,54900,58700
282,CO,"Logan County, CO",Logan County,65000,60800,58900,59200
283,CO,"Grand Junction, CO MSA",Mesa County,70100,67700,69700,63900
284,CO,"Mineral County, CO",Mineral County,66300,75500,73700,73700
285,CO,"Moffat County, CO",Moffat County,72600,72700,73500,70700
286,CO,"Montezuma County, CO",Montezuma County,59900,59200,57100,54800
287,CO,"Montrose County, CO",Montrose County,62100,60900,59100,57300
288,CO,"Morgan County, CO",Morgan County,62200,61000,58200,55900
289,CO,"Otero County, CO",Otero County,47700,48400,46100,44400
290,CO,"Ouray County, CO",Ouray County,77700,76300,78600,79300
291,CO,"Denver-Aurora-Lakewood, CO MSA",Park County,104800,100000,92800,89900
292,CO,"Phillips County, CO",Phillips County,67700,68200,65600,61400
293,CO,"Pitkin County, CO",Pitkin County,106400,110500,103400,107900
294,CO,"Prowers County, CO",Prowers County,50800,53400,54000,50200
