,State_Alpha,Metro_Area_Name,County_Name,2021,2020,2019,2018
9864,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,80500,79100
9865,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,80500,78400
9866,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,80500,85800
9868,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,80500,112300
9924,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,97700,79100
9925,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,97700,78400
9926,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,97700,85800
9928,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,97700,112300
9984,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,116200,79100
9985,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,116200,78400
9986,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,116200,85800
9988,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,88400,116200,112300
10044,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,85800,79100
10045,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,85800,78400
10046,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,85800,85800
10048,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,85800,112300
10104,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,80500,79100
10105,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,80500,78400
10106,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,80500,85800
10108,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,80500,112300
10164,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,97700,79100
10165,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,97700,78400
10166,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,97700,85800
10168,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,97700,112300
10224,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,116200,79100
10225,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,116200,78400
10226,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,116200,85800
10228,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,98200,116200,112300
10284,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,85800,79100
10285,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,85800,78400
10286,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,85800,85800
10288,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,85800,112300
10344,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,80500,79100
10345,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,80500,78400
10346,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,80500,85800
10348,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,80500,112300
10404,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,97700,79100
10405,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,97700,78400
10406,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,97700,85800
10408,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,97700,112300
10464,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,116200,79100
10465,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,116200,78400
10466,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,116200,85800
10468,MA,"Worcester, MA HUD Metro FMR Area",Worcester County,98800,111600,116200,112300
10524,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,85800,79100
10525,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,85800,78400
10526,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,85800,85800
10528,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,85800,112300
10584,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,80500,79100
10585,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,80500,78400
10586,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,80500,85800
10588,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,80500,112300
10644,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,97700,79100
10645,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,97700,78400
10646,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,97700,85800
10648,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,97700,112300
10704,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,116200,79100
10705,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,116200,78400
10706,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,116200,85800
10708,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,83200,116200,112300
10764,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,85800,79100
10765,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,85800,78400
10766,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,85800,85800
10768,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,85800,112300
10824,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,80500,79100
10825,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,80500,78400
10826,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,80500,85800
10828,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,80500,112300
10884,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,97700,79100
10885,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,97700,78400
10886,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,97700,85800
10888,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,97700,112300
10944,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,116200,79100
10945,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,116200,78400
10946,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,116200,85800
10948,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,88400,116200,112300
11004,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,85800,79100
11005,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,85800,78400
11006,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,85800,85800
11008,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,85800,112300
11064,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,80500,79100
11065,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,80500,78400
11066,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,80500,85800
11068,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,80500,112300
11124,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,97700,79100
11125,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,97700,78400
11126,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,97700,85800
11128,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,97700,112300
11184,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,116200,79100
11185,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,116200,78400
11186,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,116200,85800
11188,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,98200,116200,112300
11244,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,85800,79100
11245,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,85800,78400
11246,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,85800,85800
11248,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,85800,112300
11304,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,80500,79100
11305,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,80500,78400
11306,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,80500,85800
11308,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,80500,112300
11364,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,97700,79100
11365,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,97700,78400
11366,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,97700,85800
11368,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,97700,112300
11424,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,116200,79100
11425,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,116200,78400
11426,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,116200,85800
11428,MA,"Eastern Worcester County, MA HUD Metro FMR Area",Worcester County,126500,111600,116200,112300
11484,MI,"Alcona County, MI",Alcona County,53600,52200,50200,50100
11485,MI,"Alger County, MI",Alger County,61500,60000,57300,55100
11486,MI,"Allegan County, MI",Allegan County,73500,78700,72600,65600
11487,MI,"Alpena County, MI",Alpena County,56800,56800,54000,50500
11488,MI,"Antrim County, MI",Antrim County,67100,64500,61600,58200
11489,MI,"Arenac County, MI",Arenac County,53400,52700,51700,48900
11490,MI,"Baraga County, MI",Baraga County,56500,55700,56100,53700
11491,MI,"Barry County, MI HUD Metro FMR Area",Barry County,74600,72000,71500,68200
11492,MI,"Bay City, MI MSA",Bay County,63500,59500,59200,60400
11493,MI,"Benzie County, MI",Benzie County,70200,69400,63900,60000
11494,MI,"Niles-Benton Harbor, MI MSA",Berrien County,68900,61000,66500,60800
11495,MI,"Branch County, MI",Branch County,61100,61100,59600,56800
11496,MI,"Battle Creek, MI MSA",Calhoun County,61000,61100,64200,54900
11497,MI,"Cass County, MI HUD Metro FMR Area",Cass County,68200,65900,62700,59200
11498,MI,"Charlevoix County, MI",Charlevoix County,70700,68400,65400,63400
11499,MI,"Cheboygan County, MI",Cheboygan County,58400,55600,51700,50300
11500,MI,"Chippewa County, MI",Chippewa County,57800,56900,55100,54900
11501,MI,"Clare County, MI",Clare County,48900,48000,46500,42300
11502,MI,"Lansing-East Lansing, MI MSA",Clinton County,79100,80700,74300,73900
11503,MI,"Crawford County, MI",Crawford County,59600,54900,54600,55600
11504,MI,"Delta County, MI",Delta County,60600,60300,58700,57700
11505,MI,"Dickinson County, MI",Dickinson County,64400,59800,58300,56400
11506,MI,"Lansing-East Lansing, MI MSA",Eaton County,79100,80700,74300,73900
11507,MI,"Emmet County, MI",Emmet County,72700,70600,67900,68000
11508,MI,"Flint, MI MSA",Genesee County,65600,62400,57300,57900
11509,MI,"Gladwin County, MI",Gladwin County,55300,53800,51700,50000
11510,MI,"Gogebic County, MI",Gogebic County,57400,54500,53700,52400
11511,MI,"Grand Traverse County, MI",Grand Traverse County,89700,81000,77500,73900
11512,MI,"Gratiot County, MI",Gratiot County,58500,55200,55100,54700
11513,MI,"Hillsdale County, MI",Hillsdale County,61900,60800,57400,54000
11514,MI,"Houghton County, MI",Houghton County,64600,62400,59300,58000
11515,MI,"Huron County, MI",Huron County,61600,60500,57500,56700
11516,MI,"Lansing-East Lansing, MI MSA",Ingham County,79100,80700,74300,73900
11517,MI,"Ionia County, MI",Ionia County,66400,65100,62000,60800
11518,MI,"Iosco County, MI",Iosco County,52700,52800,50300,48500
11519,MI,"Iron County, MI",Iron County,58000,55600,50900,49600
11520,MI,"Isabella County, MI",Isabella County,62900,66200,59400,65200
11521,MI,"Jackson, MI MSA",Jackson County,64800,66400,64600,62400
11522,MI,"Kalamazoo-Portage, MI MSA",Kalamazoo County,77400,79000,73900,70300
11523,MI,"Kalkaska County, MI",Kalkaska County,55500,53000,53900,50300
11524,MI,"Grand Rapids-Wyoming, MI HUD Metro FMR Area",Kent County,80000,80200,76600,69900
11525,MI,"Keweenaw County, MI",Keweenaw County,68100,55800,52000,47100
11526,MI,"Lake County, MI",Lake County,47300,46100,42500,41000
11527,MI,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",Lapeer County,80000,78500,76300,70900
11528,MI,"Leelanau County, MI",Leelanau County,78900,78600,75400,72000
11529,MI,"Lenawee County, MI",Lenawee County,67200,70300,68900,59100
11530,MI,"Livingston County, MI HUD Metro FMR Area",Livingston County,99800,101700,102900,93100
11531,MI,"Luce County, MI",Luce County,57100,54400,49300,48700
11532,MI,"Mackinac County, MI",Mackinac County,59100,54500,51400,48900
11533,MI,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",Macomb County,80000,78500,76300,70900
11534,MI,"Manistee County, MI",Manistee County,61900,58100,56100,53400
11535,MI,"Marquette County, MI",Marquette County,72900,63300,73500,62900
11536,MI,"Mason County, MI",Mason County,64700,59100,55700,54300
11537,MI,"Mecosta County, MI",Mecosta County,61400,59500,57300,56900
11538,MI,"Menominee County, MI",Menominee County,60800,58400,54900,54000
11539,MI,"Midland, MI MSA",Midland County,72100,82200,74600,73400
11540,MI,"Missaukee County, MI",Missaukee County,55100,53400,52700,51000
11541,MI,"Monroe, MI MSA",Monroe County,78600,80600,79000,75100
11542,MI,"Montcalm County, MI HUD Metro FMR Area",Montcalm County,57300,55700,54200,52100
11543,MI,"Montmorency County, MI",Montmorency County,52000,48400,45500,44000
11544,MI,"Muskegon, MI MSA",Muskegon County,64000,62900,55600,59300
11545,MI,"Newaygo County, MI",Newaygo County,57600,57000,55800,54200
11546,MI,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",Oakland County,80000,78500,76300,70900
11547,MI,"Oceana County, MI",Oceana County,55600,54100,51500,51700
11548,MI,"Ogemaw County, MI",Ogemaw County,50400,50100,47900,46900
11549,MI,"Ontonagon County, MI",Ontonagon County,53600,49800,49700,48000
11550,MI,"Osceola County, MI",Osceola County,53600,52500,49800,49400
11551,MI,"Oscoda County, MI",Oscoda County,50700,49700,47800,44500
11552,MI,"Otsego County, MI",Otsego County,64500,63100,61600,60600
11553,MI,"Holland-Grand Haven, MI HUD Metro FMR Area",Ottawa County,87100,83600,84000,77000
11554,MI,"Presque Isle County, MI",Presque Isle County,59100,55000,53600,52100
11555,MI,"Roscommon County, MI",Roscommon County,50700,47400,45600,44400
11556,MI,"Saginaw, MI MSA",Saginaw County,63900,62900,63600,56500
11557,MI,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",St. Clair County,80000,78500,76300,70900
11558,MI,"St. Joseph County, MI",St. Joseph County,61100,60100,57600,54800
11559,MI,"Sanilac County, MI",Sanilac County,57000,56600,55300,53700
11560,MI,"Schoolcraft County, MI",Schoolcraft County,57900,53300,50500,50400
11561,MI,"Shiawassee County, MI",Shiawassee County,67900,71100,64800,64000
11562,MI,"Tuscola County, MI",Tuscola County,60300,58400,57000,55600
11563,MI,"Kalamazoo-Portage, MI MSA",Van Buren County,77400,79000,73900,70300
11564,MI,"Ann Arbor, MI MSA",Washtenaw County,106600,101500,101200,92900
11565,MI,"Detroit-Warren-Livonia, MI HUD Metro FMR Area",Wayne County,80000,78500,76300,70900
11566,MI,"Wexford County, MI",Wexford County,53900,52900,50800,51900
11567,MN,"Aitkin County, MN",Aitkin County,58800,59200,57800,56200
11568,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Anoka County,104900,103400,100000,94300
11569,MN,"Becker County, MN",Becker County,74500,71900,69500,66500
11570,MN,"Beltrami County, MN",Beltrami County,62400,60900,58300,58900
11571,MN,"St. Cloud, MN MSA",Benton County,79000,81200,76300,70600
11572,MN,"Big Stone County, MN",Big Stone County,72900,70200,67200,64500
11573,MN,"Mankato-North Mankato, MN MSA",Blue Earth County,80300,86200,78500,75000
11574,MN,"Brown County, MN",Brown County,78900,76400,74800,70300
11575,MN,"Duluth, MN-WI MSA",Carlton County,76300,76800,71900,71400
11576,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Carver County,104900,103400,100000,94300
11577,MN,"Cass County, MN",Cass County,62500,61500,59000,56900
11578,MN,"Chippewa County, MN",Chippewa County,72800,73300,73500,67600
11579,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Chisago County,104900,103400,100000,94300
11580,MN,"Fargo, ND-MN MSA",Clay County,91300,89400,84100,82000
11581,MN,"Clearwater County, MN",Clearwater County,63500,61600,59300,56800
11582,MN,"Cook County, MN",Cook County,67600,65100,67800,67600
11583,MN,"Cottonwood County, MN",Cottonwood County,69500,67200,62600,59600
11584,MN,"Crow Wing County, MN",Crow Wing County,70800,69600,67300,64600
11585,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Dakota County,104900,103400,100000,94300
11586,MN,"Rochester, MN HUD Metro FMR Area",Dodge County,99700,103000,93800,90500
11587,MN,"Douglas County, MN",Douglas County,80100,79400,76300,71600
11588,MN,"Faribault County, MN",Faribault County,70800,67200,63800,61500
11589,MN,"Fillmore County, MN HUD Metro FMR Area",Fillmore County,78000,75900,73500,70100
11590,MN,"Freeborn County, MN",Freeborn County,65600,66000,64600,62700
11591,MN,"Goodhue County, MN",Goodhue County,87600,86800,82100,77700
11592,MN,"Grant County, MN",Grant County,68400,65900,66400,65100
11593,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Hennepin County,104900,103400,100000,94300
11594,MN,"La Crosse-Onalaska, WI-MN MSA",Houston County,85100,76800,78600,72400
11595,MN,"Hubbard County, MN",Hubbard County,69700,68800,65500,63000
11596,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Isanti County,104900,103400,100000,94300
11597,MN,"Itasca County, MN",Itasca County,67900,65000,61600,59500
11598,MN,"Jackson County, MN",Jackson County,76300,74900,74000,68200
11599,MN,"Kanabec County, MN",Kanabec County,67100,64400,61100,59700
11600,MN,"Kandiyohi County, MN",Kandiyohi County,75200,73400,71600,68900
11601,MN,"Kittson County, MN",Kittson County,74700,73100,71600,70900
11602,MN,"Koochiching County, MN",Koochiching County,66900,65300,66900,61200
11603,MN,"Lac qui Parle County, MN",Lac qui Parle County,67800,66100,68600,68200
11604,MN,"Lake County, MN",Lake County,72500,73900,69800,63900
11605,MN,"Lake of the Woods County, MN",Lake of the Woods County,68700,70900,67100,65800
11606,MN,"Le Sueur County, MN HUD Metro FMR Area",Le Sueur County,86700,84700,80700,76500
11607,MN,"Lincoln County, MN",Lincoln County,69700,71700,68600,67900
11608,MN,"Lyon County, MN",Lyon County,76700,78500,75700,75000
11609,MN,"McLeod County, MN",McLeod County,80900,76400,74200,71700
11610,MN,"Mahnomen County, MN",Mahnomen County,56400,55200,55500,52000
11611,MN,"Marshall County, MN",Marshall County,77400,76000,72900,69800
11612,MN,"Martin County, MN",Martin County,71800,70900,66600,65800
11613,MN,"Meeker County, MN",Meeker County,78600,76700,74100,71200
11614,MN,"Mille Lacs County, MN HUD Metro FMR Area",Mille Lacs County,65100,65200,64000,61100
11615,MN,"Morrison County, MN",Morrison County,71000,70400,69000,65800
11616,MN,"Mower County, MN",Mower County,73300,73700,72400,67800
11617,MN,"Murray County, MN",Murray County,79400,77500,72800,70700
11618,MN,"Mankato-North Mankato, MN MSA",Nicollet County,80300,86200,78500,75000
11619,MN,"Nobles County, MN",Nobles County,67600,68000,65000,63400
11620,MN,"Norman County, MN",Norman County,71000,67900,66400,65300
11621,MN,"Rochester, MN HUD Metro FMR Area",Olmsted County,99700,103000,93800,90500
11622,MN,"Otter Tail County, MN",Otter Tail County,73800,72400,70500,68900
11623,MN,"Pennington County, MN",Pennington County,77400,73300,70800,68500
11624,MN,"Pine County, MN",Pine County,63400,62300,59800,56400
11625,MN,"Pipestone County, MN",Pipestone County,68500,65800,63800,61200
11626,MN,"Grand Forks, ND-MN MSA",Polk County,80000,89200,78500,78100
11627,MN,"Pope County, MN",Pope County,77500,77400,73800,70600
11628,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Ramsey County,104900,103400,100000,94300
11629,MN,"Red Lake County, MN",Red Lake County,81500,77500,73900,69400
11630,MN,"Redwood County, MN",Redwood County,68800,69800,68500,64200
11631,MN,"Renville County, MN",Renville County,74800,73300,72400,67000
11632,MN,"Rice County, MN",Rice County,90200,82400,88000,78100
11633,MN,"Rock County, MN",Rock County,71800,70300,68200,66300
11634,MN,"Roseau County, MN",Roseau County,75400,72300,70900,67300
11635,MN,"Duluth, MN-WI MSA",St. Louis County,76300,76800,71900,71400
11636,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Scott County,104900,103400,100000,94300
11637,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Sherburne County,104900,103400,100000,94300
11638,MN,"Sibley County, MN HUD Metro FMR Area",Sibley County,77500,74800,73800,70500
11639,MN,"St. Cloud, MN MSA",Stearns County,79000,81200,76300,70600
11640,MN,"Steele County, MN",Steele County,83600,80900,78500,77100
11641,MN,"Stevens County, MN",Stevens County,83400,85000,77500,75300
11642,MN,"Swift County, MN",Swift County,67800,66600,65300,64700
11643,MN,"Todd County, MN",Todd County,67100,63200,61500,60300
11644,MN,"Traverse County, MN",Traverse County,65300,66800,67200,66900
11645,MN,"Wabasha County, MN HUD Metro FMR Area",Wabasha County,81200,77600,75900,72100
11646,MN,"Wadena County, MN",Wadena County,56600,59000,55500,55100
11647,MN,"Waseca County, MN",Waseca County,74800,75200,74900,73900
11648,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Washington County,104900,103400,100000,94300
11649,MN,"Watonwan County, MN",Watonwan County,72400,66800,65700,65100
11650,MN,"Wilkin County, MN",Wilkin County,72100,71000,69600,69900
11651,MN,"Winona County, MN",Winona County,78200,77500,75600,73300
11652,MN,"Minneapolis-St. Paul-Bloomington, MN-WI HUD Metro FMR Area",Wright County,104900,103400,100000,94300
11653,MN,"Yellow Medicine County, MN",Yellow Medicine County,73200,70400,68300,66000
11654,MS,"Adams County, MS",Adams County,36600,37200,40200,37800
11655,MS,"Alcorn County, MS",Alcorn County,50900,49200,48200,46400
11656,MS,"Amite County, MS",Amite County,47200,46100,42500,45000
11657,MS,"Attala County, MS",Attala County,45900,47400,45200,43100
11658,MS,"Benton County, MS HUD Metro FMR Area",Benton County,49900,48600,44500,43100
11659,MS,"Bolivar County, MS",Bolivar County,40300,38500,37800,37600
11660,MS,"Calhoun County, MS",Calhoun County,47100,45900,43600,42400
11661,MS,"Carroll County, MS",Carroll County,57300,60900,57000,53000
11662,MS,"Chickasaw County, MS",Chickasaw County,49000,47000,39200,37900
11663,MS,"Choctaw County, MS",Choctaw County,58900,52600,51500,47600
11664,MS,"Claiborne County, MS",Claiborne County,32200,29600,32100,31600
11665,MS,"Clarke County, MS",Clarke County,57100,54100,50000,48900
11666,MS,"Clay County, MS",Clay County,46600,44800,44500,42100
11667,MS,"Coahoma County, MS",Coahoma County,38300,35300,35100,36000
11668,MS,"Jackson, MS HUD Metro FMR Area",Copiah County,73900,70900,67200,63800
11669,MS,"Covington County, MS",Covington County,47800,46600,42000,42700
11670,MS,"Memphis, TN-MS-AR HUD Metro FMR Area",DeSoto County,68700,67900,65900,64200
11671,MS,"Hattiesburg, MS MSA",Forrest County,58900,62600,62800,58200
11672,MS,"Franklin County, MS",Franklin County,52400,57000,54700,55200
11673,MS,"George County, MS",George County,62200,60700,60700,60700
11674,MS,"Greene County, MS",Greene County,64900,64100,56400,57000
11675,MS,"Grenada County, MS",Grenada County,48300,45700,45400,48800
11676,MS,"Gulfport-Biloxi, MS HUD Metro FMR Area",Hancock County,60600,60900,57400,52000
11677,MS,"Gulfport-Biloxi, MS HUD Metro FMR Area",Harrison County,60600,60900,57400,52000
11678,MS,"Jackson, MS HUD Metro FMR Area",Hinds County,73900,70900,67200,63800
11679,MS,"Holmes County, MS",Holmes County,27600,26200,26800,27500
11680,MS,"Humphreys County, MS",Humphreys County,33700,33300,31900,31300
11681,MS,"Issaquena County, MS",Issaquena County,29200,32200,31800,30200
11682,MS,"Itawamba County, MS",Itawamba County,53900,52800,46600,48500
11683,MS,"Pascagoula, MS HUD Metro FMR Area",Jackson County,64100,69100,67700,62700
11684,MS,"Jasper County, MS",Jasper County,47100,46500,44900,43200
11685,MS,"Jefferson County, MS",Jefferson County,28100,32200,31200,27900
11686,MS,"Jefferson Davis County, MS",Jefferson Davis County,40300,34100,32500,33000
11687,MS,"Jones County, MS",Jones County,64200,48400,62400,44100
11688,MS,"Kemper County, MS",Kemper County,34300,39900,41100,40100
11689,MS,"Lafayette County, MS",Lafayette County,73400,72400,70100,65800
11690,MS,"Hattiesburg, MS MSA",Lamar County,58900,62600,62800,58200
11691,MS,"Lauderdale County, MS",Lauderdale County,48800,63200,52400,46400
11692,MS,"Lawrence County, MS",Lawrence County,57700,56400,49700,45900
11693,MS,"Leake County, MS",Leake County,49300,49400,45300,42600
11694,MS,"Lee County, MS",Lee County,71900,71800,59900,56000
11695,MS,"Leflore County, MS",Leflore County,35000,32200,31600,31000
11696,MS,"Lincoln County, MS",Lincoln County,56100,50400,47700,43300
11697,MS,"Lowndes County, MS",Lowndes County,61700,58300,55400,52700
11698,MS,"Jackson, MS HUD Metro FMR Area",Madison County,73900,70900,67200,63800
11699,MS,"Marion County, MS",Marion County,42700,41900,43400,42300
11700,MS,"Marshall County, MS HUD Metro FMR Area",Marshall County,52700,53800,49400,46400
11701,MS,"Monroe County, MS",Monroe County,56800,54600,51600,49500
11702,MS,"Montgomery County, MS",Montgomery County,43800,44700,41700,40000
11703,MS,"Neshoba County, MS",Neshoba County,48600,50900,49200,47600
11704,MS,"Newton County, MS",Newton County,48200,49500,46700,46900
11705,MS,"Noxubee County, MS",Noxubee County,48900,46600,44100,42200
11706,MS,"Oktibbeha County, MS",Oktibbeha County,67100,61800,59500,54400
11707,MS,"Panola County, MS",Panola County,45700,44500,47900,47200
11708,MS,"Pearl River County, MS",Pearl River County,60100,60300,56900,53200
11709,MS,"Hattiesburg, MS MSA",Perry County,58900,62600,62800,58200
11710,MS,"Pike County, MS",Pike County,42000,43300,43500,42800
11711,MS,"Pontotoc County, MS",Pontotoc County,50500,53900,51100,54900
11712,MS,"Prentiss County, MS",Prentiss County,49700,47000,44400,44100
11713,MS,"Quitman County, MS",Quitman County,39300,37100,35000,34300
11714,MS,"Jackson, MS HUD Metro FMR Area",Rankin County,73900,70900,67200,63800
11715,MS,"Scott County, MS",Scott County,46400,43300,40900,38500
11716,MS,"Sharkey County, MS",Sharkey County,40800,43300,38300,42000
