,month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count
3008535,202504,77484,"waller, tx",364456.0,
3008537,202504,45724,"cutler, oh",229889.0,
3008497,202504,79237,"hedley, tx",52000.0,
3008538,202504,74059,"perkins, ok",288950.0,
3008539,202504,39421,"bassfield, ms",332075.0,
3008540,202504,53014,"chilton, wi",396400.0,
3008541,202504,51050,"remsen, ia",214900.0,
3008542,202504,68057,"scribner, ne",214988.0,
3008543,202504,78608,"briggs, tx",1135000.0,
3008544,202504,60012,"crystal lake, il",563750.0,
3008545,202504,75110,"corsicana, tx",259900.0,
3008546,202504,64679,"spickard, mo",215000.0,
3008547,202504,7927,"cedar knolls, nj",1176113.0,
3008548,202504,93103,"santa barbara, ca",2085000.0,
3008524,202504,38650,"myrtle, ms",273800.0,
3008523,202504,73453,"overbrook, ok",225000.0,
3008522,202504,22041,"falls church, va",432450.0,
3008521,202504,34952,"port saint lucie, fl",345000.0,
3008498,202504,83712,"boise, id",1361250.0,
3008499,202504,32312,"tallahassee, fl",546200.0,
3008500,202504,44128,"cleveland, oh",125000.0,
3008501,202504,37755,"helenwood, tn",427500.0,
3008502,202504,67879,"tribune, ks",137500.0,
3008503,202504,29374,"pauline, sc",342250.0,
3008504,202504,95423,"clearlake oaks, ca",322500.0,
3008505,202504,53527,"cottage grove, wi",603419.0,
3008506,202504,47532,"ferdinand, in",273625.0,
3008507,202504,97056,"scappoose, or",509950.0,
3008508,202504,63945,"harviell, mo",269950.0,
3008509,202504,63823,"bertrand, mo",150000.0,
3008510,202504,5363,"wilmington, vt",649000.0,
3008511,202504,95653,"madison, ca",489500.0,
3008512,202504,52773,"walcott, ia",227450.0,
3008513,202504,92410,"san bernardino, ca",457500.0,
3008514,202504,46746,"howe, in",262225.0,
3008515,202504,50666,"plainfield, ia",271750.0,
3008516,202504,4473,"orono, me",348200.0,
3008517,202504,7702,"shrewsbury, nj",813950.0,
3008518,202504,74055,"owasso, ok",432450.0,
3008519,202504,12726,"cochecton, ny",394250.0,
3008520,202504,71826,"bradley, ar",157000.0,
3008659,202504,99018,"latah, wa",34700.0,
3008660,202504,95979,"stonyford, ca",455000.0,
3008661,202504,4643,"harrington, me",149000.0,
3008810,202504,59412,"belt, mt",386250.0,
3008799,202504,11210,"brooklyn, ny",522500.0,
3008800,202504,23397,,135000.0,
3008801,202504,67651,"natoma, ks",92500.0,
3008802,202504,28396,"wagram, nc",430696.0,
3008803,202504,50074,"ellston, ia",1031250.0,
3008804,202504,61001,"apple river, il",444875.0,
3008805,202504,84314,"honeyville, ut",414450.0,
3008806,202504,15210,"pittsburgh, pa",149900.0,
3008807,202504,97303,"salem, or",533750.0,
3008808,202504,50677,"waverly, ia",392838.0,
3008809,202504,98375,"puyallup, wa",623238.0,
3008811,202504,35801,"huntsville, al",594950.0,
3008824,202504,87014,"cubero, nm",219000.0,
3008812,202504,24139,"pittsville, va",253425.0,
3008813,202504,93625,"fowler, ca",522970.0,
3008814,202504,10003,"new york, ny",1595000.0,
3008815,202504,72080,"jerusalem, ar",2795000.0,
3008816,202504,2891,"westerly, ri",799000.0,
3008817,202504,37760,"jefferson city, tn",411175.0,
3008818,202504,59424,"coffee creek, mt",495000.0,
3008819,202504,78061,"pearsall, tx",250000.0,
3008820,202504,4493,"west enfield, me",299950.0,
3008821,202504,29860,"north augusta, sc",375433.0,
3008822,202504,45750,"marietta, oh",254450.0,
3008798,202504,11433,"jamaica, ny",749450.0,
3008797,202504,66604,"topeka, ks",162000.0,
3008796,202504,67835,"cimarron, ks",275000.0,
3008795,202504,27020,"hamptonville, nc",579725.0,
3008772,202504,77701,"beaumont, tx",111250.0,
3008773,202504,78256,"san antonio, tx",721749.0,
3008774,202504,91506,"burbank, ca",1274750.0,
