,County,State,Avg_house_price,Avg_property_tax,Tax_per_1000
2815,Hopkins County,TX,123761.08358806788,1633.3403604933067,13.197527955797415
2816,Houston County,TX,114655.2139518159,1151.366414958648,10.04198915404329
2817,Howard County,TX,101577.59455568643,1220.20677921738,12.012558326023791
2818,Hudspeth County,TX,59324.55516014235,755.2787663107948,12.73130096419559
2819,Hunt County,TX,125419.85117505769,1971.8268732633164,15.721808428165753
2820,Hutchinson County,TX,89000.6981073534,1439.605957182749,16.175220956652318
2821,Irion County,TX,192274.63312368974,1587.6310272536687,8.257100801395628
2822,Jack County,TX,110063.907734057,1391.3161465400271,12.640984453339678
2823,Jackson County,TX,128462.2955010225,1551.2781186094069,12.075746525929544
2824,Jasper County,TX,108319.51846897829,1138.1212058853791,10.50707408943409
2825,Jeff Davis County,TX,154286.12191958496,1266.2775616083009,8.207332881620383
2826,Jefferson County,TX,124082.44785317621,2014.8279832046594,16.237816210627606
2827,Jim Hogg County,TX,85504.12603150788,1053.4883720930231,12.320906849627557
2828,Jim Wells County,TX,92300.4163630686,1230.946185073384,13.336301542036297
2829,Johnson County,TX,146017.32303278896,2303.155590226226,15.773166788635349
2830,Jones County,TX,102734.74327075323,1136.892105858403,11.066286532319163
2831,Karnes County,TX,123438.52531832988,1227.9834172342316,9.948137456012555
2832,Kaufman County,TX,148430.0429815216,2788.497850923919,18.786613511060327
2833,Kendall County,TX,395089.33431023656,4936.435001046682,12.494478013852023
2834,Kent County,TX,150481.36200716847,853.405017921147,5.671167555490981
2835,Kerr County,TX,196429.35519579356,2394.5966514459665,12.190625220243282
2836,Kimble County,TX,336001.0184595799,1704.8376830044558,5.073906295940421
2837,Kinney County,TX,82097.91231732776,936.1169102296451,11.402444761461568
2838,Kleberg County,TX,98654.51263537905,1757.194430118618,17.811597089462083
2839,Knox County,TX,63146.604651162794,862.1395348837209,13.652983238709183
2840,Lamar County,TX,103835.32106405208,1431.4715100859921,13.785978561215904
2841,Lamb County,TX,77108,1232.1492537313434,15.979525519159404
